CLIR Sponsor-DLF Member,University of Denver,7/21/15 0:00,"2150 East Evans Avenue, Denver, CO 80208-0287 US"
CLIR Sponsor-DLF Member,State University of New York at Stony Brook,1/26/15 0:00,"W-1508 Melville Library, Stony Brook, NY 11794-3300 US"
CLIR Sponsor-DLF Member,Emory University,7/1/11 0:00,"540 Asbury Circle, Atlanta, GA 30322-2870 US"
CLIR Sponsor-DLF Member,Cornell University,7/1/11 0:00,"201 Olin Library, Ithaca, NY 14853 US"
CLIR Sponsor-DLF Member,Virginia Polytechnic Institute and State University,7/1/11 0:00,"Drillfield Drive, P.O. Box 90001 Newman Library, Blacksburg, VA 24062-9001 US"
CLIR Sponsor-DLF Member,Carnegie Mellon University,9/29/14 0:00,"5000 Forbes Avenue, Pittsburgh, PA 15213-3890 US"
DLF Member,"University of California, Riverside",7/1/14 0:00,"Science Library, 3401 Watkins Drive, Riverside, CA 92521 US"
CLIR Sponsor-DLF Member,Princeton University,7/1/11 0:00,"One Washington Road, Princeton, NJ 08544-2002 US"
DLF Member,Macalester College,1/1/15 0:00,"1600 Grand Avenue, St. Paul, MN 55105-1801 US"
CLIR Sponsor-DLF Member,University of Texas at Arlington,7/1/14 0:00,"Box 19497, Arlington, TX 76019-0497 US"
CLIR Sponsor-DLF Member,Arizona State University,7/1/12 0:00,"Hayden Library, Tempe, AZ 85287-1006 US"
CLIR Sponsor-DLF Member,"University of California, Irvine",7/1/12 0:00,"P.O. Box 19557, Irvine, CA 92623-9557 US"
CLIR Sponsor-DLF Member,California Digital Library,7/1/11 0:00,"415 20th Street, 4th Floor, 436, Oakland, CA 94612-2901 US"
CLIR Sponsor-DLF Member LAC,Oberlin College,11/22/16 0:00,"148 West College Street, Oberlin, OH 44074-1532 US"
CLIR Sponsor-DLF Member LAC,Bowdoin College,7/15/15 0:00,"3000 College Station, Brunswick, ME 04011 US"
CLIR Sponsor-DLF Member,McMaster University,7/1/14 0:00,"1280 Main Street W., Hamilton, ON L8S 4L6 CA"
CLIR Sponsor-DLF Member LAC,Skidmore College,8/17/16 0:00,"Lucy Scribner Library, 815 N. Broadway, Saratoga Springs, NY 12866 US"
CLIR Sponsor-DLF Member,Harvard University,7/1/11 0:00,"1341 Massachusetts Avenue, Wadsworth House, Cambridge, MA 02138 US"
DLF Member,James Madison University,7/1/16 0:00,"Carrier Library, MSC 1704, 880 Madison Drive, Harrisonburg, VA 22807 US"
CLIR Sponsor-DLF Member,Boston College,9/7/16 0:00,"140 Commonwealth Avenue, Chestnut Hill, MA 02167 US"
CLIR Sponsor-DLF Member,University of Wisconsin-Madison,7/1/13 0:00,"728 State Street, Rm. 372, Madison, WI 53706 US"
CLIR Sponsor-DLF Member LAC,Whitman College,7/1/15 0:00,"345 Boyer Avenue, Walla Walla, WA 99362 US"
DLF Member,Getty Research Institute,7/1/14 0:00,"1200 Getty Center Drive, Suite 1100, Los Angeles, CA 90049-1688 US"
DLF Member,DePauw University,7/1/15 0:00,"11 East Larabee Street, Roy O. West Library, Greencastle, IN 46135-1772 US"
DLF Member,Bibliotheca Alexandrina,7/1/11 0:00,"P.O. Box 138, Chatby, Alexandria, 21526 EG"
DLF Member,National Archives and Records Administration,7/1/11 0:00,"Room 3200, 8601 Adelphi Road, College Park, MD 20740-6001 US"
DLF Member,University of Illinois at Urbana-Champaign,7/1/12 0:00,"1408 West Gregory Drive, 230 Library MC-522, Urbana, IL 61801 US"
DLF Member,"University of California, Davis",7/1/14 0:00,"Shields Library, Davis, CA 95616 US"
DLF Member,Georgia Institute of Technology,7/1/13 0:00,"704 Cherry Street, Atlanta, GA 30332-0001 US"
DLF Member,York University,11/15/13 0:00,"4700 Keele Street, Toronto, ON M3J 1P3 CA"
DLF Member,Inter-University Consortium for Political and Social Research,7/1/13 0:00,"University of Michigan, Institute for Social Research P.O. Box 1248, Ann Arbor, MI 48106 US"
DLF Member,Colgate University,3/6/14 0:00,"13 Oak Drive, Hamilton, NY 13346-1386 US"
DLF Member,Carnegie Mellon University,7/1/11 0:00,"5000 Forbes Avenue, Pittsburgh, PA 15213-3890 US"
DLF Member,Microsoft Research Connections,6/18/12 0:00,"One Microsoft Way, Redmond, WA 98052 US"
DLF Member LAC,Illinois Wesleyan University,,"PO Box 2900  , The Ames Library 117, Bloomington, IL 61702-2900 US"
DLF Member-Sustaining,Internet Archive,,"300 Funston Avenue, San Francisco, CA 94118 US"
