Emory University,"Emory University, Atlanta, GA 30322-2870 US",7/1/11 0:00,http://www.emory.edu/home/academics/libraries.html,33.792872,-84.31940900000001,ChIJzWxfWfoG9YgRHeIygjcdSuI
Cornell University,"Cornell University, Ithaca, NY 14853 US",7/1/11 0:00,http://campusgw.library.cornell.edu/,42.4467049,-76.48305789999999,ChIJYWuHufSB0IkRnGZJmtPxpo8
University of Chicago,"University of Chicago, Chicago, IL 60637-1502 US",7/1/11 0:00,http://www.lib.uchicago.edu/,41.7886079,-87.5987133,ChIJRUhmExYpDogRyvXSAM9lf18
University of Nebraska-Lincoln,"University of Nebraska-Lincoln, Lincoln, NE 68588-4100 US",7/1/13 0:00,http://libraries.unl.edu/,40.8201966,-96.70047629999999,ChIJvc2mUKe-locRjztC-SI8jV0
University of Colorado at Boulder,"University of Colorado at Boulder, Boulder, CO 80309-0184 US",12/7/16 0:00,#,40.00758099999999,-105.2659417,ChIJwR6cajTsa4cR2TH0qKTVKAM
Texas A&M University,"Texas A&M University, College Station, TX 77843-5000 US",7/1/11 0:00,#,30.618611,-96.33639699999999,ChIJAQDAM_eDRoYRyDvAuaS4R5c
Duke University,"Duke University, Durham, NC 27708 US",7/24/14 0:00,http://library.duke.edu/,35.9992263,-78.94720889999999,ChIJnY-iCwfkrIkRWKC4lmlpEEA
University of Georgia,"University of Georgia, Athens, GA 30602 US",7/1/13 0:00,http://www.libs.uga.edu/,33.954258,-83.37493219999999,ChIJo5RQR-Fs9ogRjfMRW0Ze-uc
University of Tennessee,"University of Tennessee, Knoxville, TN 37996-1000 US",7/1/11 0:00,http://www.lib.utk.edu/,35.9544013,-83.92945639999999,ChIJIW9KquAXXIgRTCm1SKcUSQo
University of Texas at Austin,"University of Texas at Austin, Austin, TX 78712 US",7/1/11 0:00,http://www.lib.utexas.edu/,30.2888541,-97.7390494,ChIJ039S3oK1RIYRCwcDUbd_C0w
University of San Francisco,"University of San Francisco, San Francisco, CA 94117 US",7/1/15 0:00,http://www.usfca.edu/library/,37.7766466,-122.450683,ChIJuyASMUqHhYARTvh_g2_KVmo
University of Iowa,"University of Iowa, Iowa City, IA 52242-1420 US",7/1/11 0:00,http://www.lib.uiowa.edu/,41.6626963,-91.5548998,ChIJ__-_SfJB5IcRYTLnsT_j0Us
Indiana University,"Indiana University, Bloomington, IN 47405 US",7/1/11 0:00,http://libraries.iub.edu/,39.1714266,-86.51860219999999,ChIJrdB8I79mbIgRP-RbBxeMlfQ
"University of British Columbia, Vancouver","University of British Columbia, Vancouver, Vancouver, BC V6T 1Z1 CA",7/1/11 0:00,http://www.library.ubc.ca/,49.2684344,-123.2611099,ChIJPzfSDstyhlQR6G1yM4r1-b4
Texas Tech University,"Texas Tech University, Lubbock, TX 79409-0002 US",7/1/16 0:00,http://library.ttu.edu/,33.5842591,-101.8782822,ChIJR8ge8xPEQIYRSXiwt3SzLQU
University at Albany,"University at Albany, Albany, NY 12222-0001 US",8/30/13 0:00,http://library.albany.edu/,42.68494339999999,-73.82524959999999,ChIJNcvFFTsL3okRnp6AsL_tw8c
Rice University,"Rice University, Houston, TX 77251-1892 US",7/1/11 0:00,http://www.rice.edu/fondren/,29.7145594,-95.4067312,ChIJl9HCwmXAQIYRA1e0813WKAM
Purdue University,"Purdue University, West Lafayette, IN 47907-2058 US",7/1/11 0:00,https://www.lib.purdue.edu/,40.4237054,-86.92119459999999,ChIJBwU-Qjf9EogRjnwai8-yzI4
Binghamton University,"Binghamton University, Binghamton, NY 13902-6012 US",7/1/16 0:00,http://www.binghamton.edu/libraries/,42.0893553,-75.9697049,ChIJaTEedLju2okR3z5p7vGc53M
Library of Congress,"Library of Congress, Washington, DC 20540-4000 US",7/1/13 0:00,http://www.loc.gov/,38.888684,-77.004719,ChIJTTr4jvbuDzkR7D7e9Jayy0Y
Iowa State University,"Iowa State University, Ames, IA 50011-2140 US",7/1/15 0:00,http://www.lib.iastate.edu/,42.0266187,-93.6464654,ChIJGVshXgp67ocR6Els7jrt2Nc
Rhodes College,"Rhodes College, Memphis, TN 38112 US",7/1/11 0:00,http://www.rhodes.edu/barret/,35.1550839,-89.98928719999999,ChIJuYETwJCAf4gR2ebGom_pEfw
Occidental College,"Occidental College, Los Angeles, CA 90041 US",8/4/15 0:00,http://www.oxy.edu/library,34.1273615,-118.2105035,ChIJoTIjJWbBwoARpljh1m4ytbc
Haverford College,"Haverford College, Haverford, PA 19041-1336 US",7/11/14 0:00,http://library.haverford.edu/,40.0066524,-75.305318,ChIJJS6VzuvGxokRWTnyFDVOAEQ
Swarthmore College,"Swarthmore College, Swarthmore, PA 19081 US",7/17/14 0:00,http://www.swarthmore.edu/libraries,39.9068405,-75.35564830000001,ChIJj7PqbtLpxokRK7IyQMDWAHs
University of Richmond,"University of Richmond, Richmond, VA 23173 US",7/1/15 0:00,http://library.richmond.edu/,37.5758681,-77.5409744,ChIJtXlSJ6IUsYkR_91m1Y4xCTE
Colgate University,"Colgate University, Hamilton, NY 13346-1386 US",7/1/14 0:00,http://exlibris.colgate.edu/default.html,42.8157506,-75.5407681,ChIJ2S_7-mTX24kRk6cZF0dK0X0
